feature id	tube_ID	sequencing_ID	nest_ID	sample_type	nesting_site	sampling_date	sampling_year	season	nest_depth	total_egg_number	egg_number_hatched	egg_number_undeveloped	failure_unknowncause	dead_embryos/hatchlings_nest	living_hatchlings_nest	hatching_rate	emergence_rate
C1-W1-16S	C1-W1		2023-C1	control	Witzelsdorf 1	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C10-E-16S	C10-E		2023-C10	control	Eckartsau	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C11-O-16S	C11-O		2023-C11	control	Orth a.d. Donau	21.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C12-O-16S	C12-O		2023-C12	control	Orth a.d. Donau	21.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C13-RW-16S	C13-RW		2023-C13	control	Rother Werth	21.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C14-RW-16S	C14-RW		2023-C14	control	Rother Werth	21.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C15-RW-16S	C15-RW		2023-C15	control	Rother Werth	21.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2-W1-16S	C2-W1		2023-C2	control	Witzelsdorf 1	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3-W1-16S	C3		2023-C3	control	Witzelsdorf 1	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C4-W3-16S	C4-W3		2023-C4	control	Witzelsdorf 3	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6-W3-16S	C6-W3		2023-C6	control	Witzelsdorf 3	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C7-USS-OST-16S	C7-USS-OST		2023-C7	control	Uberstromstrecke Ost	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C8-E-16S	C8-E		2023-C8	control	Eckartsau	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
C9-E-16S	C9-E		2023-C9	control	Eckartsau	20.04.2024	2024	2023	NA	NA	NA	NA	NA	NA	NA	NA	NA
E-CS-16S	E-CS		2023-G-CS	egg	Uberstromstrecke Ost	20.04.2024	2024	2023	12	11	8	0	0	3	0	73	73
E-DJ-16S	E-DJ		2023-G-DJ	egg	Witzelsdorfer Ruckstaudamm	20.04.2024	2024	2023	7	6	5	0	1	0	5	83	0
E-FA-16S	E-FA		2023-G-FA	egg	Witzelsdorf 1	20.04.2024	2024	2023	11	12	11	0	0	0	0	92	92
E-GC-16S	E-GC		2023-G-GC	egg	Eckartsau	20.04.2024	2024	2023	16	5	0	0	5	0	0	0	0
E-HH-16S	E-HH		2023-G-HH	egg	Rother Werth	21.04.2024	2024	2023	10.5	10	9	1	0	0	0	90	90
E1-BQ-16S	E1-BQ		2023-G-BQ	egg	Orth a.d. Donau	21.04.2024	2024	2023	11	12	3	7	0	1	2	25	0
E1-BU-16S	E1-BU		2023-G-BU	egg	Lederbodenfaden	18.04.2024	2024	2023	10	12	10	0	2	0	0	83	83
E1-BX-16S	E1-BX		2023-G-BX	egg	Rother Werth	21.04.2024	2024	2023	10.5	5	3	0	0	2	0	60	20
E1-CQ-16S	E1-CQ		2023-G-CQ	egg	Witzelsdorf 3	20.04.2024	2024	2023	11	11	8	0	3	0	0	73	73
E1-DD-16S	E1-DD		2023-G-DD	egg	Eckartsau	18.04.2024	2024	2023	6	7	4	0	3	0	0	57	57
E1-DF-16S	E1-DF		2023-G-DF	egg	Biberhaufen	18.04.2024	2024	2023	12	12	6	0	5	1	0	50	50
E1-DV-16S	E1-DV		2023-G-DV	egg	Witzelsdorf 3	20.04.2024	2024	2023	10	11	2	0	9	0	2	18	0
E1-ED-16S	E1-ED		2023-G-ED	egg	Rother Werth	18.04.2024	2024	2023	12	7	5	0	2	0	0	71	71
E1-FC-16S	E1-FC		2023-G-FC	egg	Orth a.d. Donau	18.04.2024	2024	2023	10	6	4	1	0	1	0	67	67
E1-FU-16S	E1-FU		2023-G-FU	egg	Rother Werth	18.04.2024	2024	2023	10	10	5	5	0	0	0	50	50
E1-GU-16S	E1-GU		2023-G-GU	egg	Uberstromstrecke Ost	20.04.2024	2024	2023	11	12	4	0	8	3	0	33	17
E1-HP-16S	E1-HP		2023-G-HP	egg	Eckartsau	18.04.2024	2024	2023	13	9	1	0	8	0	0	11	11
E1-HU-16S	E1-HU		2023-G-HU	egg	Eckartsau	20.04.2024	2024	2023	12	6	3	0	3	3	0	50	0
E1-JD-16S	E1-JD		2023-G-JD	egg	Witzelsdorf 1	20.04.2024	2024	2023	10	10	3	0	7	0	0	30	30
E1a-CQ-16S	E1-CQ		2023-G-CQ	egg	Witzelsdorf 3	20.04.2024	2024	2023	11	11	8	0	3	0	0	73	73
E1b-CQ-16S	E1b-CQ		2023-G-CQ	egg	Witzelsdorf 3	20.04.2024	2024	2023	11	11	8	0	3	0	0	73	73
E2-BQ-16S	E2-BQ		2023-G-BQ	egg	Orth a.d. Donau	21.04.2024	2024	2023	11	12	3	7	0	1	2	25	0
E2-BU-16S	E2-BU		2023-G-BU	egg	Lederbodenfaden	18.04.2024	2024	2023	10	12	10	0	2	0	0	83	83
E2-BX-16S	E2-BX		2023-G-BX	egg	Rother Werth	21.04.2024	2024	2023	10.5	5	3	0	0	2	0	60	20
E2-CQ-16S	E2-CQ		2023-G-CQ	egg	Witzelsdorf 3	20.04.2024	2024	2023	11	11	8	0	3	0	0	73	73
E2-DD-16S	E2-DD		2023-G-DD	egg	Eckartsau	18.04.2024	2024	2023	6	7	4	0	3	0	0	57	57
E2-DF-16S	E2-DF		2023-G-DF	egg	Biberhaufen	18.04.2024	2024	2023	12	12	6	0	5	1	0	50	50
E2-DV-16S	E2-DV		2023-G-DV	egg	Witzelsdorf 3	20.04.2024	2024	2023	10	11	2	0	9	0	2	18	0
E2-ED-16S	E2-ED		2023-G-ED	egg	Rother Werth	18.04.2024	2024	2023	12	7	5	0	2	0	0	71	71
E2-FC-16S	E2-FC		2023-G-FC	egg	Orth a.d. Donau	18.04.2024	2024	2023	10	6	4	1	0	1	0	67	67
E2-FU-16S	E2-FU		2023-G-FU	egg	Rother Werth	18.04.2024	2024	2023	10	10	5	5	0	0	0	50	50
E2-GU-16S	E2-GU		2023-G-GU	egg	Uberstromstrecke Ost	20.04.2024	2024	2023	11	12	4	0	8	3	0	33	17
E2-HP-16S	E2-HP		2023-G-HP	egg	Eckartsau	18.04.2024	2024	2023	13	9	1	0	8	0	0	11	11
E2-HU-16S	E2-HU		2023-G-HU	egg	Eckartsau	20.04.2024	2024	2023	12	6	3	0	3	3	0	50	0
E2-JD-16S	E2-JD		2023-G-JD	egg	Witzelsdorf 1	20.04.2024	2024	2023	10	10	3	0	7	0	0	30	30
E3-CQ-16S	E3-CQ		2023-G-CQ	egg	Witzelsdorf 3	20.04.2024	2024	2023	11	11	8	0	3	0	0	73	73
E3-DD-16S	E3-DD		2023-G-DD	egg	Eckartsau	18.04.2024	2024	2023	6	7	4	0	3	0	0	57	57
E3-DV-16S	E3-DV		2023-G-DV	egg	Witzelsdorf 3	20.04.2024	2024	2023	10	11	2	0	9	0	2	18	0
E3-ED-16S	E3-ED		2023-G-ED	egg	Rother Werth	18.04.2024	2024	2023	12	7	5	0	2	0	0	71	71
E3-GU-16S	E3-GU		2023-G-GU	egg	Uberstromstrecke Ost	20.04.2024	2024	2023	11	12	4	0	8	3	0	33	17
E3-HP-16S	E3-HP		2023-G-HP	egg	Eckartsau	18.04.2024	2024	2023	13	9	1	0	8	0	0	11	11
E3-JD-16S	E3-JD		2023-G-JD	egg	Witzelsdorf 1	20.04.2024	2024	2023	10	10	3	0	7	0	0	30	30
E4-GU-16S	E4-GU		2023-G-GU	egg	Uberstromstrecke Ost	20.04.2024	2024	2023	11	12	4	0	8	3	0	33	17
E4-HP-16S	E4-HP		2023-G-HP	egg	Eckartsau	18.04.2024	2024	2023	13	9	1	0	8	0	0	11	11
E4-JD-16S	E4-JD		2023-G-JD	egg	Witzelsdorf 1	20.04.2024	2024	2023	10	10	3	0	7	0	0	30	30
Ea-FP-16S	Ea-FP		2023-G-FP	egg	Witzelsdorf 3	20.04.2024	2024	2023	8	9	8	1	0	2	1	89	56
Eb-FP-16S	Eb-FP		2023-G-FP	egg	Witzelsdorf 3	20.04.2024	2024	2023	8	9	8	1	0	2	1	89	56
Ec-FP-16S	Ec-FP		2023-G-FP	egg	Witzelsdorf 3	20.04.2024	2024	2023	8	9	8	1	0	2	1	89	56
Emb-DF-16S	Emb-DF		2023-G-DF	embryo	Biberhaufen	18.04.2024	2024	2023	12	12	6	0	5	1	0	50	50
exB1-16S	NA	NA		ex_blank													
exB2-16S				ex_blank													
exB3-16S				ex_blank													
exB4-16S				ex_blank													
N-BK-16S	N-BK		2023-G-BK	nest	Witzelsdorf 3	20.04.2024	2024	2023	10	6	6	0	0	0	0	100	100
N-BQ-16S	N-BQ		2023-G-BQ	nest	Orth a.d. Donau	21.04.2024	2024	2023	11	12	3	7	0	1	2	25	0
N-BU-16S	N-BU		2023-G-BU	nest	Lederbodenfaden	18.04.2024	2024	2023	10	12	10	0	2	0	0	83	83
N-BX-16S	N-BX		2023-G-BX	nest	Rother Werth	21.04.2024	2024	2023	10.5	5	3	0	0	2	0	60	20
N-CD-16S	N-CD		2023-G-CD	nest	Witzelsdorf 1	20.04.2024	2024	2023	10	12	12	0	0	1	0	100	92
N-CQ-16S	N-CQ		2023-G-CQ	nest	Witzelsdorf 3	20.04.2024	2024	2023	11	11	8	0	3	0	0	73	73
N-CS-16S	N-CS		2023-G-CS	nest	Uberstromstrecke Ost	20.04.2024	2024	2023	12	11	8	0	0	3	0	73	73
N-DA-16S	N-DA		2023-G-DA	nest	Lederbodenfaden	18.04.2024	2024	2023	11	12	12	0	0	0	0	100	100
N-DD-16S	N-DD		2023-G-DD	nest	Eckartsau	18.04.2024	2024	2023	6	7	4	0	3	0	0	57	57
N-DF-16S	N-DF		2023-G-DF	nest	Biberhaufen	18.04.2024	2024	2023	12	12	6	0	5	1	0	50	50
N-DI-16S	N-DI		2023-G-DI	nest	Orth a.d. Donau	21.04.2024	2024	2023	11	13	13	0	0	4	9	100	0
N-DL-16S	N-DL		2023-G-DL	nest	Heustadel	18.04.2024	2024	2023	11	8	8	0	0	0	0	100	100
N-DP-16S	N-DP		2023-G-DP	nest	Orth a.d. Donau	18.04.2024	2024	2023	12	10	10	0	0	0	0	100	100
N-DS-16S	N-DS		2023-G-DS	nest	Orth a.d. Donau	18.04.2024	2024	2023	11	4	4	0	0	0	0	100	100
N-DV-16S	N-DV		2023-G-DV	nest	Witzelsdorf 3	20.04.2024	2024	2023	10	11	2	0	9	0	2	18	0
N-ED-16S	N-ED		2023-G-ED	nest	Rother Werth	18.04.2024	2024	2023	12	7	5	0	2	0	0	71	71
N-FA-16S	N-FA		2023-G-FA	nest	Witzelsdorf 1	20.04.2024	2024	2023	11	12	11	0	0	0	0	92	92
N-FC-16S	N-FC		2023-G-FC	nest	Orth a.d. Donau	18.04.2024	2024	2023	10	6	4	1	0	1	0	67	67
N-FG-16S	N-FG		2023-G-FG	nest	Eckartsau	20.04.2024	2024	2023	10	5	4	0	1	0	4	80	0
N-FG2-16S	N-FO		2023-G-FO	nest	Orth a.d. Donau	18.04.2024	2024	2023	10	9	7	0	2	0	0	78	78
N-FP-16S	N-FP		2023-G-FP	nest	Witzelsdorf 3	20.04.2024	2024	2023	8	9	8	1	0	2	1	89	56
N-FS-16S	N-FS		2023-G-FS	nest	Uberstromstrecke West	20.04.2024	2024	2023	8	8	8	0	0	1	0	100	88
N-FT-16S	N-FT		2023-G-FT	nest	Rother Werth	21.04.2024	2024	2023	10.5	9	9	0	0	0	0	100	100
N-FU-16S	N-FU		2023-G-FU	nest	Rother Werth	18.04.2024	2024	2023	10	10	5	5	0	0	0	50	50
N-GC-16S	N-GC		2023-G-GC	nest	Eckartsau	20.04.2024	2024	2023	16	5	0	0	5	0	0	0	0
N-GP-16S	N-GP		2023-G-GP	nest	Orth a.d. Donau	18.04.2024	2024	2023	11	7	7	0	0	0	0	100	100
N-GU-16S	N-GU		2023-G-GU	nest	Uberstromstrecke Ost	20.04.2024	2024	2023	11	12	4	0	8	3	0	33	17
N-HB-16S	N-HB		2023-G-HB	nest	Eckartsau	20.04.2024	2024	2023	16	1	1	0	0	0	0	100	100
N-HH-16S	N-HH		2023-G-HH	nest	Rother Werth	21.04.2024	2024	2023	10.5	10	9	1	0	0	0	90	90
N-HM-16S	N-HM		2023-G-HM	nest	Orth a.d. Donau	18.04.2024	2024	2023	10	7	7	0	0	0	0	100	100
N-HN-16S	N-HN		2023-G-HN	nest	Rother Werth	18.04.2024	2024	2023	11	5	5	0	0	0	0	100	100
N-HP-16S	N-HP		2023-G-HP	nest	Eckartsau	18.04.2024	2024	2023	13	9	1	0	8	0	0	11	11
N-HU-16S	N-HU		2023-G-HU	nest	Eckartsau	20.04.2024	2024	2023	12	6	3	0	3	3	0	50	0
N-IR-16S	N-IR		2023-G-IR	nest	Witzelsdorf 1	20.04.2024	2024	2023	10	8	7	0	1	0	0	88	88
N-JD-16S	N-JD		2023-G-JD	nest	Witzelsdorf 1	20.04.2024	2024	2023	10	10	3	0	7	0	0	30	30
Neg-C1-16S	NA	NA		PCR_blank													
Neg-C2-16S				PCR_blank													
Sh-BK-16S	Sh-BK		2023-G-BK	shells	Witzelsdorf 3	20.04.2024	2024	2023	10	6	6	0	0	0	0	100	100
Sh-BQ-16S	Sh-BQ		2023-G-BQ	shells	Orth a.d. Donau	21.04.2024	2024	2023	11	12	3	7	0	1	2	25	0
Sh-BU-16S	Sh-BU		2023-G-BU	shells	Lederbodenfaden	18.04.2024	2024	2023	10	12	10	0	2	0	0	83	83
Sh-CD-16S	Sh-CD		2023-G-CD	shells	Witzelsdorf 1	20.04.2024	2024	2023	10	12	12	0	0	1	0	100	92
Sh-CQ-16S	Sh-CQ		2023-G-CQ	shells	Witzelsdorf 3	20.04.2024	2024	2023	11	11	8	0	3	0	0	73	73
Sh-CS-16S	Sh-CS		2023-G-CS	shells	Uberstromstrecke Ost	20.04.2024	2024	2023	12	11	8	0	0	3	0	73	73
Sh-DA-16S	Sh-DA		2023-G-DA	shells	Lederbodenfaden	18.04.2024	2024	2023	11	12	12	0	0	0	0	100	100
Sh-DD-16S	Sh-DD		2023-G-DD	shells	Eckartsau	18.04.2024	2024	2023	6	7	4	0	3	0	0	57	57
Sh-DF-16S	Sh-DF		2023-G-DF	shells	Biberhaufen	18.04.2024	2024	2023	12	12	6	0	5	1	0	50	50
Sh-DI-16S	Sh-DI		2023-G-DI	shells	Orth a.d. Donau	21.04.2024	2024	2023	11	13	13	0	0	4	9	100	0
Sh-DJ-16S	Sh-DJ		2023-G-DJ	shells	Witzelsdorfer Ruckstaudamm	20.04.2024	2024	2023	7	6	5	0	1	0	5	83	0
